Zip Code,Latitude,Longitude,POSITIVES,PERCENT_POSI,DEGREES,ENROLLS,ELDER,WHITES,BLACKS,ASIANS,MINORITIES,MED_INCOMES,MEAN_INCOMES,POVERTY,UNEMPLOYMENT
10037,40.8115226,-73.9348399,386,36.97,38.4,24.4,17.5,10.8,71.9,2.5,74.4,45041.0,63900.0,25.1,12.6
10038,40.709222,-74.0042868,227,33.28,57.8,51.0,19.9,51.7,9.3,31.8,41.1,86058.0,138542.0,19.0,5.7
10039,40.8357644,-73.9352106,457,36.04,30.4,22.0,12.3,13.1,61.9,1.6,63.5,39653.0,61621.0,25.8,13.5
10040,40.8539753,-73.9317892,988,38.9,34.7,37.1,20.0,36.1,9.8,3.0,12.8,47137.0,64100.0,22.3,10.5
10044,40.7621212,-73.949786,196,40.25,62.8,50.6,23.2,45.5,12.2,33.9,46.1,100441.0,126465.0,11.6,6.2
10065,40.766116,-73.9646668,302,23.23,82.2,35.4,24.2,86.4,2.2,9.5,11.7,127375.0,242978.0,6.9,2.6
10069,40.7770551,-73.9881716,48,25,87.6,32.9,8.4,62.0,2.9,30.6,33.5,110625.0,225183.0,10.3,3.3
10075,40.7736065,-73.9565108,348,29.24,76.8,18.9,29.8,85.3,3.1,4.9,8.0,137146.0,233358.0,5.1,0.9
10128,40.7845399,-73.9474136,579,24.5,82.0,33.4,21.9,79.6,3.7,9.9,13.6,114010.0,196844.0,6.2,3.8
10280,40.7061798,-74.0191064,41,20.2,88.4,15.2,11.2,78.4,2.0,15.7,17.7,169844.0,224631.0,3.6,3.4
10282,40.7159241,-74.0150874,64,32.49,83.8,13.1,6.8,74.3,1.1,20.8,21.9,250001.0,330244.0,3.4,3.1
10301,40.6397987,-74.0757457,1067,38.84,37.2,36.3,19.1,57.5,25.0,6.1,31.1,55802.0,82103.0,23.0,5.0
10302,40.6307562,-74.1371752,591,42.4,24.3,28.6,13.0,62.0,20.6,7.3,27.9,64103.0,80141.0,16.4,4.2
10303,40.6302632,-74.1587797,789,40.19,25.2,21.6,12.4,44.0,35.3,8.1,43.4,62558.0,75828.0,25.3,4.3
